CodigoSucursal,CodigoFuerza,CodigoModoAtencion,CodigoRuta,CodigoCliente,FechaDesde,FechaHasta
1,1,PRE,43,191,2001/01/01,31/12/8999
1,1,PRE,43,221,2001/01/01,31/12/8999
1,1,PRE,120,234,2001/01/01,31/12/8999
1,1,PRE,102,237,2001/01/01,31/12/8999
1,1,PRE,107,252,2001/01/01,31/12/8999
1,1,PRE,118,287,2001/01/01,31/12/8999
1,1,PRE,28,288,2001/01/01,31/12/8999
1,1,PRE,120,295,2001/01/01,31/12/8999
1,1,PRE,113,317,2001/01/01,31/12/8999
1,1,PRE,113,335,2001/01/01,31/12/8999
1,1,PRE,90,403,2001/01/01,31/12/8999
1,1,PRE,95,404,2001/01/01,31/12/8999
1,1,PRE,91,418,2001/01/01,31/12/8999
1,1,PRE,102,436,2001/01/01,31/12/8999
1,1,PRE,73,462,2001/01/01,31/12/8999
1,1,PRE,87,463,2001/01/01,31/12/8999
1,1,PRE,120,485,2001/01/01,31/12/8999
1,1,PRE,90,495,2001/01/01,31/12/8999
1,1,PRE,105,524,2001/01/01,31/12/8999
1,1,PRE,118,543,2001/01/01,31/12/8999
1,1,PRE,118,557,2001/01/01,31/12/8999
1,1,PRE,110,558,2001/01/01,31/12/8999
1,1,PRE,120,562,2001/01/01,31/12/8999
1,1,PRE,111,576,2001/01/01,31/12/8999
1,1,PRE,110,583,2001/01/01,31/12/8999
1,1,PRE,111,602,2001/01/01,31/12/8999
1,1,PRE,111,605,2001/01/01,31/12/8999
1,1,PRE,28,617,2001/01/01,31/12/8999
1,1,PRE,113,624,2001/01/01,31/12/8999
1,1,PRE,111,659,2001/01/01,31/12/8999
1,1,PRE,107,661,2001/01/01,31/12/8999
1,1,PRE,43,676,2001/01/01,31/12/8999
1,1,PRE,90,684,2001/01/01,31/12/8999
1,1,PRE,28,701,2001/01/01,31/12/8999
1,1,PRE,107,702,2001/01/01,31/12/8999
1,1,PRE,118,716,2001/01/01,31/12/8999
1,1,PRE,107,717,2001/01/01,31/12/8999
1,1,PRE,100,779,2001/01/01,31/12/8999
1,1,PRE,91,865,2001/01/01,31/12/8999
1,1,PRE,43,867,2001/01/01,31/12/8999
1,1,PRE,110,869,2001/01/01,31/12/8999
1,1,PRE,91,870,2001/01/01,31/12/8999
1,1,PRE,91,872,2001/01/01,31/12/8999
1,1,PRE,91,874,2001/01/01,31/12/8999
1,1,PRE,90,876,2001/01/01,31/12/8999
1,1,PRE,120,921,2001/01/01,31/12/8999
1,1,PRE,28,922,2001/01/01,31/12/8999
1,1,PRE,91,940,2001/01/01,31/12/8999
1,1,PRE,28,953,2001/01/01,31/12/8999
1,1,PRE,94,958,2001/01/01,31/12/8999
1,1,PRE,113,991,2001/01/01,31/12/8999
1,1,PRE,94,1005,2001/01/01,31/12/8999
1,1,PRE,91,1046,2001/01/01,31/12/8999
1,1,PRE,118,1058,2001/01/01,31/12/8999
1,1,PRE,94,1063,2001/01/01,31/12/8999
1,1,PRE,94,1084,2001/01/01,31/12/8999
1,1,PRE,110,1172,2001/01/01,31/12/8999
1,1,PRE,118,1198,2001/01/01,31/12/8999
1,1,PRE,118,1211,2001/01/01,31/12/8999
1,1,PRE,28,1216,2001/01/01,31/12/8999
1,1,PRE,110,1218,2001/01/01,31/12/8999
1,1,PRE,90,1222,2001/01/01,31/12/8999
1,1,PRE,91,1276,2001/01/01,31/12/8999
